unitid,icon,army,step,datetime,geopos
B01RF3B,5,3,40,1815-06-16T16:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,41,1815-06-16T17:00:00Z,"4.4627, 50.5658"
B01RF3B,5,3,42,1815-06-16T18:00:00Z,"4.455, 50.5695"
B01RF3B,5,3,43,1815-06-16T19:00:00Z,"4.455, 50.5695"
B01RF3B,5,3,44,1815-06-16T20:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,45,1815-06-16T21:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,46,1815-06-16T22:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,47,1815-06-16T23:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,48,1815-06-17T00:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,49,1815-06-17T01:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,50,1815-06-17T02:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,51,1815-06-17T03:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,52,1815-06-17T04:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,53,1815-06-17T05:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,54,1815-06-17T06:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,55,1815-06-17T07:00:00Z,"4.4599, 50.5697"
B01RF3B,5,3,56,1815-06-17T08:00:00Z,"4.4599, 50.5697"
B01RFG2B,5,3,43,1815-06-16T19:00:00Z,"4.4441, 50.5651"
B01RFG2B,5,3,43,1815-06-16T19:00:00Z,"4.4407, 50.5648"
B01RFG2B,5,3,44,1815-06-16T20:00:00Z,"4.444, 50.5612"
B01RFG2B,5,3,44,1815-06-16T20:00:00Z,"4.4414, 50.5596"
B01RFG2B,5,3,45,1815-06-16T21:00:00Z,"4.444, 50.5612"
B01RFG2B,5,3,45,1815-06-16T21:00:00Z,"4.4414, 50.5596"
B01RFG2B,5,3,46,1815-06-16T22:00:00Z,"4.444, 50.5612"
B01RFG2B,5,3,46,1815-06-16T22:00:00Z,"4.4414, 50.5596"
B01RFG2B,5,3,47,1815-06-16T23:00:00Z,"4.444, 50.5612"
B01RFG2B,5,3,47,1815-06-16T23:00:00Z,"4.4414, 50.5596"
B01RFG2B,5,3,48,1815-06-17T00:00:00Z,"4.444, 50.5612"
B01RFG2B,5,3,48,1815-06-17T00:00:00Z,"4.4414, 50.5596"
B01RFG2B,5,3,49,1815-06-17T01:00:00Z,"4.444, 50.5612"
