"unit_id","event_id","source"
5,1,26
6,1,26
7,1,26
9,1,26
10,1,26
11,1,26
22,1,26
23,1,26
24,1,26
27,1,26
28,1,26
43,1,26
44,1,26
45,1,26
46,1,26
49,1,26
50,1,26
85,1,26
86,1,26
87,1,26
93,1,26
96,1,26
105,1,26
106,1,26
108,1,26
118,1,26
123,1,26
125,1,26
136,1,26
137,1,26
150,1,26
151,1,26
152,1,26
153,1,26
168,1,26
169,1,26
172,1,26
179,1,26
180,1,26
183,1,26
184,1,26
193,1,26
195,1,26
202,1,26
203,1,26
217,1,26
220,1,26
223,1,26
226,1,26
233,1,26
242,1,26
319,1,26
320,1,26
321,1,26
323,1,26
324,1,26
325,1,26
326,1,26
327,1,26
333,1,26
334,1,26
335,1,26
336,1,26
337,1,26
338,1,26
339,1,26
340,1,26
341,1,26
342,1,26
343,1,26
344,1,26
345,1,26
346,1,26
347,1,26
348,1,26
349,1,26
350,1,26
351,1,26
406,1,26
407,1,26
408,1,26
409,1,26
410,1,26
411,1,26
412,1,26
413,1,26
414,1,26
415,1,26
416,1,26
417,1,26
431,1,26
432,1,26
433,1,26
434,1,26
435,1,26
436,1,26
437,1,26
438,1,26
439,1,26
490,1,26
491,1,26
492,1,26
493,1,26
494,1,26
495,1,26
496,1,26
497,1,26
502,1,26
503,1,26
504,1,26
505,1,26
742,1,26
743,1,26
744,1,26
745,1,26
769,1,26
770,1,26
771,1,26
772,1,26
773,1,26
781,1,26
782,1,26
783,1,26
784,1,26
806,1,26
807,1,26
808,1,26
809,1,26
810,1,26
811,1,26
812,1,26
813,1,26
874,1,26
875,1,26
876,1,26
877,1,26
878,1,26
880,1,26
910,1,26
911,1,26
914,1,26
915,1,26
944,1,26
946,1,26
950,1,26
952,1,26
954,1,26
996,1,26
998,1,26
1074,1,26
1095,1,26
3,2,24
4,2,24
33,2,24
34,2,24
47,2,24
48,2,24
51,2,24
52,2,24
53,2,24
54,2,24
55,2,24
56,2,24
57,2,24
58,2,24
59,2,24
60,2,24
61,2,24
62,2,24
63,2,24
64,2,24
65,2,24
66,2,24
67,2,24
68,2,24
69,2,24
