"unit_id","person_id","role_id","source"
220,684,55,1
220,123,90,1
220,616,65,1
220,62,88,1
220,321,89,1
220,686,56,1
223,698,89,1
223,738,88,1
222,247,59,1
1058,210,59,1
1059,730,59,1
1060,362,59,1
1092,739,59,1
872,469,59,1
873,7,59,1
1061,109,59,1
223,524,59,1
85,119,59,1
5,411,59,1
319,314,59,1
320,595,59,1
6,54,59,1
321,677,59,1
323,295,59,1
183,6,59,1
874,571,59,1
875,352,59,1
86,740,59,1
7,280,59,1
324,19,59,1
325,209,59,1
326,421,59,1
327,287,59,1
8,832,59,1
328,762,59,1
329,22,59,1
330,812,59,1
331,863,59,1
9,347,59,1
334,764,59,1
335,799,59,1
336,898,59,1
337,857,59,1
338,591,59,1
184,675,59,1
876,363,59,1
877,3,59,1
87,486,59,1
10,52,59,1
339,244,59,1
340,652,59,1
341,673,59,1
342,587,59,1
343,709,59,1
878,53,59,1
879,737,59,1
11,717,59,1
345,50,59,1
346,830,59,1
347,290,59,1
349,772,59,1
350,578,59,1
351,28,59,1
880,594,59,1
881,728,59,1
88,110,59,1
12,161,59,1
352,10,59,1
353,590,59,1
354,729,59,1
355,736,59,1
356,734,59,1
357,34,59,1
882,354,59,1
883,687,59,1
13,691,59,1
358,240,59,1
359,356,59,1
360,18,59,1
361,4,59,1
362,732,59,1
363,40,59,1
884,365,59,1
364,349,59,1
168,696,59,1
123,630,59,1
737,113,59,1
738,694,59,1
739,358,59,1
124,703,59,1
740,537,59,1
741,165,59,1
125,733,59,1
742,714,59,1
743,37,59,1
185,721,59,1
885,238,59,1
886,487,59,1
888,107,59,1
224,300,59,1
89,112,59,1
14,5,59,1
365,114,59,1
366,539,59,1
367,470,59,1
368,547,59,1
15,727,59,1
369,544,59,1
370,424,59,1
371,896,59,1
372,535,59,1
16,281,59,1
373,865,59,1
374,425,59,1
375,760,59,1
376,285,59,1
186,241,59,1
889,35,59,1
890,600,59,1
90,117,59,1
17,420,59,1
377,628,59,1
378,208,59,1
379,541,59,1
18,332,59,1
380,428,59,1
381,671,59,1
382,11,59,1
383,163,59,1
19,367,59,1
384,27,59,1
387,243,59,1
388,121,59,1
187,288,59,1
891,43,59,1
892,844,59,1
188,164,59,1
893,422,59,1
894,307,59,1
895,330,59,1
896,546,59,1
897,23,59,1
189,302,59,1
898,725,59,1
901,583,59,1
190,718,59,1
904,344,59,1
225,724,59,1
91,8,59,1
389,51,59,1
390,30,59,1
391,597,59,1
392,577,59,1
393,534,59,1
394,350,59,1
905,543,59,1
92,592,59,1
20,692,59,1
395,731,59,1
396,713,59,1
397,631,59,1
398,585,59,1
399,494,59,1
400,116,59,1
21,700,59,1
401,690,59,1
402,353,59,1
403,245,59,1
404,582,59,1
405,735,59,1
192,575,59,1
907,680,59,1
908,467,59,1
909,48,59,1
93,489,59,1
22,345,59,1
406,26,59,1
407,298,59,1
408,162,59,1
409,21,59,1
23,883,59,1
